Castricum, Rotterdam  Alexander , Amsterdam  Zuid ,Heemstede-Aerdenhout,Hoorn,Alkmaar,Haarlem, Den  Haag  Centraal , Schiedam  Centrum , Amsterdam  Amstel , Amsterdam  Sloterdijk , Amsterdam  Centraal ,Delft, Rotterdam  Centraal , Den  Helder , Alphen  a/d  Rijn ,Zaandam, Leiden  Centraal , Schiphol  Airport ,Dordrecht,Beverwijk,Gouda
0.0
88.0,0.0
34.0,61.0,0.0
35.0,53.0,33.0,0.0
33.0,102.0,48.0,49.0,0.0
9.0,97.0,43.0,44.0,24.0,0.0
29.0,59.0,27.0,6.0,43.0,38.0,0.0
60.0,28.0,33.0,25.0,74.0,69.0,31.0,0.0
80.0,13.0,53.0,45.0,94.0,89.0,51.0,20.0,0.0
32.0,71.0,10.0,31.0,46.0,41.0,25.0,43.0,63.0,0.0
18.0,70.0,16.0,17.0,32.0,27.0,11.0,42.0,62.0,14.0,0.0
24.0,76.0,18.0,23.0,38.0,33.0,17.0,48.0,68.0,8.0,6.0,0.0
73.0,20.0,46.0,38.0,87.0,82.0,44.0,13.0,7.0,56.0,55.0,61.0,0.0
85.0,8.0,58.0,50.0,99.0,94.0,56.0,25.0,5.0,68.0,67.0,73.0,12.0,0.0
45.0,133.0,79.0,80.0,60.0,36.0,74.0,105.0,125.0,77.0,63.0,69.0,118.0,130.0,0.0
62.0,29.0,35.0,27.0,76.0,71.0,33.0,26.0,42.0,45.0,44.0,50.0,39.0,37.0,107.0,0.0
12.0,76.0,22.0,23.0,26.0,21.0,17.0,48.0,68.0,20.0,6.0,12.0,61.0,73.0,57.0,50.0,0.0
48.0,40.0,21.0,13.0,62.0,57.0,19.0,12.0,32.0,31.0,30.0,36.0,25.0,37.0,93.0,14.0,36.0,0.0
40.0,55.0,6.0,28.0,54.0,49.0,33.0,27.0,47.0,16.0,22.0,24.0,40.0,52.0,85.0,29.0,28.0,15.0,0.0
102.0,25.0,75.0,67.0,116.0,111.0,73.0,42.0,22.0,85.0,84.0,90.0,29.0,17.0,147.0,54.0,90.0,54.0,69.0,0.0
13.0,75.0,43.0,22.0,46.0,22.0,16.0,47.0,67.0,41.0,27.0,33.0,60.0,72.0,58.0,49.0,25.0,35.0,49.0,89.0,0.0
78.0,10.0,51.0,43.0,92.0,87.0,49.0,18.0,23.0,61.0,60.0,66.0,30.0,18.0,123.0,19.0,66.0,30.0,45.0,35.0,65.0,0.0
